,0
0,8
1,12
2,16
3,18
4,19
5,28
6,29
7,36
8,39
9,51
10,62
11,64
12,65
13,68
14,69
15,73
16,74
17,76
18,86
19,88
20,89
21,90
22,91
23,95
24,96
25,97
26,101
27,104
28,105
29,109
30,112
31,113
32,115
33,127
34,136
35,143
36,145
37,146
38,148
39,150
40,151
41,152
42,161
43,162
44,164
45,171
46,172
47,177
48,181
49,193
50,199
51,202
52,205
53,209
54,215
55,224
56,226
57,237
58,238
59,241
60,244
61,254
62,257
63,259
64,260
65,264
66,268
67,270
68,275
69,284
70,286
71,292
72,297
73,300
74,313
75,316
76,324
77,325
78,334
79,336
80,338
81,339
82,340
83,345
84,349
85,364
86,377
87,381
88,383
89,385
90,386
91,392
92,396
93,400
94,412
95,432
96,434
97,436
98,444
99,445
100,453
101,463
102,464
103,473
104,475
105,492
106,499
107,503
108,526
109,527
110,533
