,0
0,1
1,3
2,15
3,20
4,22
5,25
6,41
7,42
8,50
9,54
10,60
11,78
12,93
13,103
14,126
15,131
16,147
17,183
18,185
19,190
20,196
21,212
22,219
23,225
24,239
25,271
26,299
27,303
28,330
29,333
30,341
31,372
32,374
33,379
34,411
35,419
36,452
37,465
38,489
39,511
40,515
41,520
42,521
43,522
44,528
45,531
46,538
47,539
48,540
49,544
50,547
51,548
52,551
53,553
54,555
55,557
56,558
57,561
58,565
59,576
60,578
61,581
62,590
63,591
64,594
65,602
66,603
67,605
