,Female Subject IDs
0,2
1,4
2,7
3,8
4,9
5,12
6,16
7,18
8,19
9,21
10,24
11,26
12,28
13,29
14,31
15,36
16,37
17,39
18,46
19,48
20,49
21,51
22,55
23,58
24,59
25,61
26,62
27,63
28,64
29,65
30,66
31,68
32,69
33,71
34,72
35,73
36,74
37,76
38,77
39,80
40,83
41,85
42,86
43,87
44,88
45,89
46,90
47,91
48,92
49,94
50,95
51,96
52,97
53,99
54,100
55,101
56,102
57,104
58,105
59,106
60,107
61,109
62,111
63,112
64,113
65,115
66,116
67,118
68,121
69,124
70,127
71,129
72,130
73,132
74,134
75,135
76,136
77,137
78,139
79,141
80,142
81,143
82,144
83,145
84,146
85,148
86,149
87,150
88,151
89,152
90,153
91,156
92,158
93,161
94,162
95,164
96,167
97,168
98,169
99,171
100,172
101,174
102,176
103,177
104,179
105,180
106,181
107,187
108,188
109,189
110,191
111,193
112,195
113,198
114,199
115,201
116,202
117,203
118,204
119,205
120,206
121,207
122,208
123,209
124,211
125,214
126,215
127,216
128,217
129,220
130,223
131,224
132,226
133,228
134,230
135,235
136,236
137,237
138,238
139,241
140,244
141,245
142,246
143,247
144,248
145,249
146,251
147,253
148,254
149,256
150,257
151,259
152,260
153,264
154,265
155,266
156,267
157,268
158,269
159,270
160,272
161,273
162,274
163,275
164,276
165,277
166,282
167,283
168,284
169,285
170,286
171,289
172,290
173,292
174,293
175,294
176,295
177,296
178,297
179,300
180,304
181,310
182,311
183,312
184,313
185,314
186,315
187,316
188,317
189,321
190,322
191,323
192,324
193,325
194,327
195,331
196,332
197,334
198,335
199,336
200,337
201,338
202,339
203,340
204,343
205,345
206,348
207,349
208,350
209,351
210,353
211,354
212,355
213,356
214,357
215,359
216,360
217,361
218,364
219,367
220,368
221,371
222,373
223,375
224,377
225,378
226,381
227,383
228,385
229,386
230,387
231,388
232,392
233,393
234,396
235,397
236,398
237,400
238,405
239,409
240,412
241,413
242,414
243,415
244,416
245,417
246,418
247,420
248,421
249,427
250,430
251,431
252,432
253,434
254,436
255,439
256,441
257,443
258,444
259,445
260,446
261,447
262,451
263,453
264,458
265,459
266,460
267,461
268,463
269,464
270,466
271,467
272,469
273,470
274,473
275,475
276,477
277,479
278,480
279,481
280,482
281,483
282,487
283,488
284,492
285,493
286,494
287,498
288,499
289,500
290,503
291,504
292,505
293,506
294,509
295,512
296,513
297,517
298,519
299,524
300,526
301,527
302,532
303,533
304,552
