,0
0,2
1,21
2,31
3,55
4,61
5,63
6,71
7,77
8,87
9,94
10,107
11,121
12,130
13,132
14,134
15,135
16,137
17,149
18,156
19,158
20,176
21,198
22,204
23,206
24,207
25,246
26,247
27,249
28,253
29,267
30,269
31,289
32,290
33,295
34,296
35,304
36,312
37,321
38,323
39,327
40,332
41,337
42,348
43,351
44,354
45,357
46,373
47,375
48,378
49,387
50,388
51,393
52,398
53,409
54,415
55,420
56,421
57,446
58,451
59,458
60,461
61,481
62,493
63,509
64,532
65,552
