,East Asian,South Asian,Middle Eastern,Black,White,Hispanic,Other
0,1.0,122.0,155.0,175.0,10.0,6.0,53.0
1,3.0,140.0,159.0,495.0,11.0,23.0,262.0
2,15.0,154.0,165.0,516.0,13.0,27.0,319.0
3,20.0,186.0,281.0,518.0,14.0,34.0,401.0
4,22.0,218.0,,529.0,44.0,67.0,426.0
5,25.0,462.0,,546.0,70.0,119.0,523.0
6,41.0,490.0,,587.0,75.0,125.0,549.0
7,42.0,491.0,,,117.0,138.0,560.0
8,50.0,525.0,,,128.0,182.0,563.0
9,54.0,541.0,,,133.0,210.0,564.0
10,60.0,566.0,,,192.0,229.0,567.0
11,78.0,573.0,,,250.0,232.0,
12,93.0,580.0,,,255.0,234.0,
13,103.0,584.0,,,258.0,243.0,
14,126.0,592.0,,,307.0,252.0,
15,131.0,601.0,,,395.0,326.0,
16,147.0,,,,410.0,344.0,
17,183.0,,,,422.0,363.0,
18,185.0,,,,468.0,376.0,
19,190.0,,,,472.0,428.0,
20,196.0,,,,508.0,456.0,
21,212.0,,,,530.0,471.0,
22,219.0,,,,545.0,542.0,
23,225.0,,,,550.0,559.0,
24,239.0,,,,556.0,562.0,
25,271.0,,,,570.0,568.0,
26,299.0,,,,574.0,569.0,
27,303.0,,,,583.0,575.0,
28,330.0,,,,588.0,579.0,
29,333.0,,,,593.0,582.0,
30,341.0,,,,595.0,598.0,
31,372.0,,,,596.0,,
32,374.0,,,,600.0,,
33,379.0,,,,604.0,,
34,411.0,,,,,,
35,419.0,,,,,,
36,452.0,,,,,,
37,465.0,,,,,,
38,489.0,,,,,,
39,511.0,,,,,,
40,515.0,,,,,,
41,520.0,,,,,,
42,521.0,,,,,,
43,522.0,,,,,,
44,528.0,,,,,,
45,531.0,,,,,,
46,538.0,,,,,,
47,539.0,,,,,,
48,540.0,,,,,,
49,544.0,,,,,,
50,547.0,,,,,,
51,548.0,,,,,,
52,551.0,,,,,,
53,553.0,,,,,,
54,555.0,,,,,,
55,557.0,,,,,,
56,558.0,,,,,,
57,561.0,,,,,,
58,565.0,,,,,,
59,576.0,,,,,,
60,578.0,,,,,,
61,581.0,,,,,,
62,590.0,,,,,,
63,591.0,,,,,,
64,594.0,,,,,,
65,602.0,,,,,,
66,603.0,,,,,,
67,605.0,,,,,,
