,Male Subject IDs
0,1
1,3
2,5
3,6
4,10
5,11
6,13
7,14
8,15
9,20
10,22
11,23
12,25
13,27
14,34
15,41
16,42
17,44
18,50
19,53
20,54
21,60
22,67
23,70
24,75
25,78
26,93
27,103
28,117
29,119
30,122
31,125
32,126
33,128
34,131
35,133
36,138
37,140
38,147
39,154
40,155
41,159
42,165
43,175
44,182
45,183
46,185
47,186
48,190
49,192
50,196
51,210
52,212
53,218
54,219
55,225
56,229
57,232
58,234
59,239
60,243
61,250
62,252
63,255
64,258
65,262
66,271
67,281
68,299
69,303
70,307
71,319
72,326
73,330
74,333
75,341
76,344
77,363
78,372
79,374
80,376
81,379
82,395
83,401
84,410
85,411
86,419
87,422
88,426
89,428
90,452
91,456
92,462
93,465
94,468
95,471
96,472
97,489
98,490
99,491
100,495
101,508
102,511
103,515
104,516
105,518
106,520
107,521
108,522
109,523
110,525
111,528
112,529
113,530
114,531
115,538
116,539
117,540
118,541
119,542
120,544
121,545
122,546
123,547
124,548
125,549
126,550
127,551
128,553
129,555
130,556
131,557
132,558
133,559
134,560
135,561
136,562
137,563
138,564
139,565
140,566
141,567
142,568
143,569
144,570
145,573
146,574
147,575
148,576
149,578
150,579
151,580
152,581
153,582
154,583
155,584
156,587
157,588
158,590
159,591
160,592
161,593
162,594
163,595
164,596
165,598
166,600
167,601
168,602
169,603
170,604
171,605
