,Gender ,Ethnicity
17,F,Hispanic
3,M,East Asian
39,M,White
40,M,Hispanic
41,M,East Asian
42,M,White
43,M,East Asian
44,M,Hispanic
45,M,South Asian
46,M,East Asian
47,M,Hispanic
48,M,White
51,M,South Asian
52,M,Black
53,M,White
55,M,East Asian
56,M,East Asian
57,M,South Asian
58,M,White
59,M,East Asian
60,M,White
61,M,White
63,M,Hispanic
65,M,White
66,M,South Asian
67,M,East Asian
68,M,East Asian
38,M,South Asian
35,M,White
34,M,Hispanic
33,M,Hispanic
4,M,East Asian 
5,M,East Asian
6,M,Indian
7,M,Hispanic
9,M,East Asian
10,M,White
11,M,20
12,M,East Asian
13,M,East Asian
14,M,White x East Asian
15,M,White
16,M,South-East Asian
69,M,White
18,M,East Asian
21,M,White
22,M,East asian
23,M,East Asian
24,M,Hispanic 
25,M,White/East Asian
26,M,East Asian
27,M,Hispanic
28,M,East Asian/White
29,M,Hispanic/East Asian
30,M,East Asian
31,M,South Asian
32,M,White/Hispanic
20,M,East asian
70,M,East Asian
