Subject_ID,Face_Name,Attractiveness,Trustworthiness,Intelligence,Dominance,Memorability,Emotional_ness,StrandedMotorists,DatingApp,JobApplication,EyeWitness,Election,PD,UG,TG,Gender,Ethnicity
1,67,1,7,6,7,9,1,7,4,4,9,5,6,6,6,Male,East Asian
1,82,1,6,9,4,4,6,4,4,4,6,8,9,5,4,Male,East Asian
1,115,1,8,7,7,1,2,4,5,5,4,6,3,7,7,Male,East Asian
1,138,NaN,NaN,NaN,NaN,NaN,NaN,3,3,5,7,8,NaN,NaN,NaN,Male,East Asian
1,215,NaN,NaN,NaN,NaN,NaN,NaN,3,4,3,6,7,NaN,NaN,NaN,Male,East Asian
1,232,NaN,NaN,NaN,NaN,NaN,NaN,2,4,3,3,1,NaN,NaN,NaN,Male,East Asian
1,268,8,7,7,3,9,5,9,9,8,7,7,7,7,7,Male,East Asian
1,275,3,7,5,8,4,6,6,4,4,4,7,4,4,8,Male,East Asian
1,407,1,3,5,4,9,2,4,4,3,3,2,1,2,3,Male,East Asian
1,427,NaN,NaN,NaN,NaN,NaN,NaN,4,4,4,9,7,NaN,NaN,NaN,Male,East Asian
1,465,NaN,NaN,NaN,NaN,NaN,NaN,6,6,6,7,7,NaN,NaN,NaN,Male,East Asian
1,497,1,2,3,8,9,1,4,5,1,2,1,1,2,2,Male,East Asian
1,521,6,4,8,3,4,7,5,7,7,4,6,7,7,3,Male,East Asian
1,533,4,4,4,8,3,3,8,7,4,3,9,2,3,3,Male,East Asian
1,543,1,3,8,8,3,2,6,5,6,6,7,3,4,3,Male,East Asian
1,549,3,6,8,1,3,8,8,6,9,9,9,7,6,8,Male,East Asian
1,639,3,6,4,4,3,2,3,2,1,3,3,4,5,3,Male,East Asian
1,646,1,4,3,6,9,9,4,5,4,4,3,2,3,2,Male,East Asian
1,655,1,9,7,6,9,4,8,3,2,4,8,9,7,5,Male,East Asian
1,678,1,9,9,5,3,3,6,5,9,8,9,8,6,8,Male,East Asian
1,753,6,3,6,1,7,6,8,9,8,3,3,6,5,6,Male,East Asian
1,786,NaN,NaN,NaN,NaN,NaN,NaN,6,5,6,7,4,NaN,NaN,NaN,Male,East Asian
1,883,NaN,NaN,NaN,NaN,NaN,NaN,6,6,6,7,7,NaN,NaN,NaN,Male,East Asian
1,944,1,3,5,4,3,4,6,6,6,4,2,5,4,6,Male,East Asian
1,1006,3,4,5,3,3,3,3,4,7,8,4,6,4,4,Male,East Asian
1,1017,NaN,NaN,NaN,NaN,NaN,NaN,4,4,4,3,3,NaN,NaN,NaN,Male,East Asian
1,1070,3,3,4,2,4,3,6,4,4,6,3,4,5,6,Male,East Asian
1,1074,NaN,NaN,NaN,NaN,NaN,NaN,6,6,6,1,3,NaN,NaN,NaN,Male,East Asian
1,1075,NaN,NaN,NaN,NaN,NaN,NaN,3,4,6,6,7,NaN,NaN,NaN,Male,East Asian
1,1076,1,8,8,7,9,5,4,5,3,4,7,2,5,3,Male,East Asian
1,1088,NaN,NaN,NaN,NaN,NaN,NaN,3,2,2,7,3,NaN,NaN,NaN,Male,East Asian
1,1132,NaN,NaN,NaN,NaN,NaN,NaN,7,6,4,4,3,NaN,NaN,NaN,Male,East Asian
1,1152,2,7,7,4,4,4,1,1,2,3,3,6,4,5,Male,East Asian
1,1212,7,5,5,1,5,6,9,8,4,6,6,8,6,6,Male,East Asian
1,1239,2,6,8,7,6,4,5,3,3,6,4,7,3,7,Male,East Asian
1,1272,4,3,7,5,2,5,6,5,7,6,3,7,8,6,Male,East Asian
1,1309,NaN,NaN,NaN,NaN,NaN,NaN,5,5,4,4,3,NaN,NaN,NaN,Male,East Asian
1,1349,3,6,4,3,4,3,2,7,8,6,2,6,5,6,Male,East Asian
